clip_id,clip_name,ground_truth,prediction,is_correct,failure_type,confidence,reason,elapsed_seconds,video_path,notes
video_0003,video_0003.mp4,compliant,jaywalking,False,FP,medium,"Vote margin (2 jaywalking vs 1 compliant, min_req=2)",4.119,data/raw_clips/video_0003.mp4,
video_0014,video_0014.mp4,compliant,compliant,True,CORRECT,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.083,data/raw_clips/video_0014.mp4,
video_0028,video_0028.mp4,jaywalking,jaywalking,True,CORRECT,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.093,data/raw_clips/video_0028.mp4,
video_0030,video_0030.mp4,jaywalking,jaywalking,True,CORRECT,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.157,data/raw_clips/video_0030.mp4,
video_0035,video_0035.mp4,jaywalking,jaywalking,True,CORRECT,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.182,data/raw_clips/video_0035.mp4,
video_0053,video_0053.mp4,jaywalking,jaywalking,True,CORRECT,medium,"Vote margin (2 jaywalking vs 1 compliant, min_req=2)",4.136,data/raw_clips/video_0053.mp4,
video_0054,video_0054.mp4,jaywalking,compliant,False,FN,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.136,data/raw_clips/video_0054.mp4,
video_0073,video_0073.mp4,jaywalking,jaywalking,True,CORRECT,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.086,data/raw_clips/video_0073.mp4,
video_0082,video_0082.mp4,compliant,compliant,True,CORRECT,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",0.91,data/raw_clips/video_0082.mp4,
video_0083,video_0083.mp4,compliant,compliant,True,CORRECT,high,"Vote margin (0 jaywalking vs 3 compliant, min_req=2)",4.11,data/raw_clips/video_0083.mp4,
video_0087,video_0087.mp4,compliant,compliant,True,CORRECT,high,"Vote margin (0 jaywalking vs 3 compliant, min_req=2)",4.152,data/raw_clips/video_0087.mp4,
video_0092,video_0092.mp4,jaywalking,jaywalking,True,CORRECT,medium,"Vote margin (2 jaywalking vs 1 compliant, min_req=2)",4.116,data/raw_clips/video_0092.mp4,
video_0099,video_0099.mp4,compliant,jaywalking,False,FP,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.132,data/raw_clips/video_0099.mp4,
video_0104,video_0104.mp4,jaywalking,jaywalking,True,CORRECT,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.132,data/raw_clips/video_0104.mp4,
video_0110,video_0110.mp4,jaywalking,jaywalking,True,CORRECT,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.16,data/raw_clips/video_0110.mp4,
video_0122,video_0122.mp4,jaywalking,jaywalking,True,CORRECT,medium,"Vote margin (2 jaywalking vs 1 compliant, min_req=2)",4.076,data/raw_clips/video_0122.mp4,
video_0123,video_0123.mp4,compliant,compliant,True,CORRECT,high,"Vote margin (0 jaywalking vs 3 compliant, min_req=2)",4.124,data/raw_clips/video_0123.mp4,
video_0133,video_0133.mp4,jaywalking,jaywalking,True,CORRECT,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.154,data/raw_clips/video_0133.mp4,
video_0138,video_0138.mp4,jaywalking,compliant,False,FN,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.136,data/raw_clips/video_0138.mp4,
video_0139,video_0139.mp4,jaywalking,jaywalking,True,CORRECT,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.158,data/raw_clips/video_0139.mp4,
video_0146,video_0146.mp4,compliant,compliant,True,CORRECT,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.084,data/raw_clips/video_0146.mp4,
video_0150,video_0150.mp4,compliant,jaywalking,False,FP,medium,"Vote margin (2 jaywalking vs 1 compliant, min_req=2)",4.234,data/raw_clips/video_0150.mp4,
video_0160,video_0160.mp4,compliant,compliant,True,CORRECT,medium,"Vote margin (1 jaywalking vs 2 compliant, min_req=2)",4.192,data/raw_clips/video_0160.mp4,
video_0168,video_0168.mp4,compliant,jaywalking,False,FP,high,"Vote margin (3 jaywalking vs 0 compliant, min_req=2)",4.11,data/raw_clips/video_0168.mp4,
