video_id,ground_truth,exp56_pred,exp56_correct,exp57_pred,exp57_correct,transition_status,road_structure_response,junction_crossing_response,reason
video_0002.mp4,COMPLIANT,JAYWALKING,✗,COMPLIANT,✓,RECOVERED (SUCCESS),PRIVATE_ENCLOSED,UNREGULATED_MIDBLOCK,Enclosed private/indoor space detected
video_0020.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Confirmed public roadway crossing (unanimous VLM + public street)
video_0024.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0047.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0057.mp4,COMPLIANT,JAYWALKING,✗,JAYWALKING,✗,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Fast-crossing dash with 2/3 VLM majority
video_0061.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0063.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Fast-crossing dash with 2/3 VLM majority
video_0064.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0070.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0071.mp4,COMPLIANT,JAYWALKING,✗,JAYWALKING,✗,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0079.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0084.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0085.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0090.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0091.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0093.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0098.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0101.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0102.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0108.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0116.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0119.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0120.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0126.mp4,COMPLIANT,COMPLIANT,✓,COMPLIANT,✓,UNCHANGED,PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Compliant consensus
video_0129.mp4,JAYWALKING,JAYWALKING,✓,JAYWALKING,✓,UNCHANGED,PUBLIC_STREET,UNREGULATED_MIDBLOCK,Confirmed public roadway crossing (unanimous VLM + public street)
video_0132.mp4,COMPLIANT,JAYWALKING,✗,COMPLIANT,✓,RECOVERED (SUCCESS),PUBLIC_STREET,LEGAL_JUNCTION_CROSSING,Legal intersection junction crossing confirmed
